team,offense_epa_per_play,defense_epa_per_play,season
GB,0.008941463,0.026651697,2018
HOU,0.0005349922,-0.05940349,2018
IND,0.025404768,-0.037133027,2018
JAX,-0.11296575,-0.055159222,2018
KC,0.17350613,0.039451722,2018
LA,0.09116132,-0.013586071,2018
LAC,0.0466329,-0.026536265,2018
LV,-0.06865281,0.084850036,2018
MIA,-0.09927346,0.014148812,2018
MIN,-0.09181021,-0.0964671,2018
NE,0.05980893,-0.03846815,2018
NO,0.101024404,-0.022018,2018
NYG,0.011971043,0.04797485,2018
NYJ,-0.102356225,-0.013144577,2018
PHI,0.017055377,0.009534106,2018
PIT,0.040744595,-0.0074220495,2018
SEA,0.049889166,-0.01157783,2018
SF,-0.030660339,0.04108744,2018
TB,0.014564061,0.074631706,2018
TEN,-0.022490133,-0.021593638,2018
WAS,-0.058872346,0.008042487,2018
ARI,-0.023577236,0.042782597,2019
ATL,-0.008716797,0.004228406,2019
BAL,0.12762614,-0.05958777,2019
BUF,-0.03972182,-0.09284691,2019
CAR,-0.08423176,0.03318371,2019
CHI,-0.0796662,-0.06527873,2019
CIN,-0.068104066,0.055718217,2019
CLE,-0.04282056,0.0026154644,2019
DAL,0.05712612,-0.035381567,2019
DEN,-0.050155226,-0.021861833,2019
DET,-0.040347222,0.023018535,2019
GB,0.028744936,-0.01008748,2019
HOU,0.019457784,0.03647771,2019
IND,-0.026835015,-0.014831108,2019
JAX,-0.04593591,0.036399666,2019
KC,0.1157417,-0.020798244,2019
LA,-0.011012854,-0.038270358,2019
LAC,0.0037464045,0.015132641,2019
LV,-0.010606274,0.086289905,2019
MIA,-0.07243531,0.09040737,2019
MIN,0.004868359,-0.06816242,2019
NE,-0.016987177,-0.1775766,2019
NO,0.039334126,-0.052357763,2019
NYG,-0.07080628,0.02438187,2019
NYJ,-0.13256721,-0.046172634,2019
PHI,-0.005377184,-0.023095446,2019
PIT,-0.13336354,-0.11713836,2019
SEA,0.006933061,-0.002162465,2019
SF,0.047685217,-0.0989223,2019
TB,-0.028718151,-0.03681219,2019
TEN,0.02984715,-0.03136112,2019
WAS,-0.10833682,0.047861047,2019
ARI,0.017034711,-0.021404784,2020
ATL,0.025502674,0.033377074,2020
BAL,0.06959085,-0.063645855,2020
BUF,0.11654854,0.020003824,2020
CAR,0.0137054445,0.059326734,2020
CHI,-0.026125876,-0.013850053,2020
CIN,-0.036960404,0.06372796,2020
CLE,0.056776326,0.058374807,2020
DAL,-0.02756411,0.03872197,2020
DEN,-0.06806315,0.03384381,2020
DET,-0.007845267,0.11783229,2020
GB,0.14955308,0.030288447,2020
HOU,0.04984929,0.11096339,2020
IND,0.05521245,-0.026190884,2020
JAX,-0.06699501,0.09391888,2020
KC,0.13269272,0.057777062,2020
LA,-0.038377937,-0.1091269,2020
LAC,-0.026716884,0.012261852,2020
LV,0.047872048,0.08561783,2020
MIA,0.013153519,-0.050810445,2020
MIN,0.030085407,0.080153786,2020
NE,0.009286119,0.032166243,2020
NO,0.043926854,-0.06356172,2020
NYG,-0.04890843,0.015790153,2020
NYJ,-0.13135168,0.05845546,2020
PHI,-0.064318545,0.011880559,2020
PIT,0.0054364474,-0.069642164,2020
SEA,0.07431919,0.013569479,2020
SF,-0.010384658,0.0035862492,2020
TB,0.08903034,-0.041465852,2020
TEN,0.12118,0.0881211,2020
WAS,-0.044543702,-0.035055332,2020
ARI,0.011775128,-0.043818057,2021
ATL,-0.07885477,0.046324182,2021
BAL,0.005229939,0.015750917,2021
BUF,0.0835494,-0.0801123,2021
CAR,-0.1287469,-0.049860176,2021
CHI,-0.08614929,-0.0046288203,2021
CIN,0.025696587,-0.034749977,2021
CLE,-0.02395104,0.0032595398,2021
DAL,0.0415543,-0.08119673,2021
DEN,0.010516046,0.001147267,2021
DET,-0.0613233,0.0610331,2021
GB,0.07420601,0.005565562,2021
HOU,-0.11373851,0.03507147,2021
IND,0.039431218,-0.031940985,2021
JAX,-0.09250439,0.08634,2021
KC,0.11913542,0.024798129,2021
LA,0.034985397,-0.053994883,2021
LAC,0.041953586,0.03016681,2021
LV,-0.010449907,0.043638546,2021
MIA,-0.059486162,-0.033558372,2021
MIN,-0.005102671,-0.012052316,2021
NE,0.043024912,-0.060213555,2021
NO,-0.08774253,-0.11061419,2021
NYG,-0.12510443,0.0021253836,2021
NYJ,-0.073644534,0.09402134,2021
PHI,0.031597394,-0.003122393,2021
PIT,-0.06184355,-0.013716762,2021
SEA,0.016567076,-0.004009548,2021
SF,0.030501906,-0.021816004,2021
TB,0.06356884,-0.060304213,2021
TEN,-0.00396961,-0.044790104,2021
WAS,-0.03981929,0.04392373,2021
ARI,-0.090162024,-0.0014895602,2022
ATL,-0.0022644934,0.019297866,2022
BAL,0.007007156,-0.026945291,2022
BUF,0.067425236,-0.04938713,2022
CAR,-0.035241254,-0.015262743,2022
CHI,-0.04395437,0.07391015,2022
CIN,0.046970665,-0.043412004,2022
CLE,-0.005126883,0.009145087,2022
DAL,0.025010435,-0.07504437,2022
DEN,-0.08103931,-0.017907022,2022
DET,0.04773558,0.031425226,2022
GB,-0.0053824056,-0.0016289597,2022
HOU,-0.13066015,-0.019085594,2022
IND,-0.14041978,-0.03386584,2022
JAX,0.0311544,-0.006351797,2022
KC,0.1237862,0.018357044,2022
LA,-0.07637979,-0.0025640705,2022
LAC,-0.014653981,-0.017086407,2022
LV,-0.0011231363,0.015743637,2022
MIA,0.007691611,0.0016046783,2022
MIN,-0.007944794,0.01618654,2022
NE,-0.07241907,-0.08886429,2022
NO,-0.05589094,-0.037923243,2022
NYG,0.02766045,0.054253455,2022
NYJ,-0.08863757,-0.061792456,2022
PHI,0.06949112,-0.056918647,2022
PIT,-0.017122563,0.0120673105,2022
SEA,0.018422253,0.022581493,2022
SF,0.04117566,-0.08923323,2022
TB,-0.055213578,-0.006099804,2022
TEN,-0.06615864,-0.009191814,2022
WAS,-0.054355513,-0.041130114,2022
ARI,-0.043007694,0.062281232,2023
ATL,-0.08694301,-0.04381224,2023
BAL,0.047380324,-0.109907635,2023
BUF,0.0628839,-0.044337075,2023
CAR,-0.13063785,0.01565691,2023
CHI,-0.060280945,-0.05616491,2023
CIN,-0.0052801208,0.008811697,2023
CLE,-0.10759196,-0.12647294,2023
DAL,0.09075792,-0.053776167,2023
DEN,-0.045133255,0.004629748,2023
DET,0.033001147,-0.010472353,2023
GB,0.047713656,0.0055466243,2023
HOU,-0.019651888,-0.040110372,2023
IND,-0.0372364,-0.01606767,2023
JAX,-0.029459236,-0.038773455,2023
KC,0.014037146,-0.06432423,2023
LA,0.008602356,-0.015039502,2023
LAC,-0.056199495,-0.015585336,2023
LV,-0.07708883,-0.067303605,2023
MIA,0.05572948,-0.014537528,2023
MIN,-0.04808997,-0.03264311,2023
NE,-0.18933998,-0.0655463,2023
NO,-0.0449612,-0.109492734,2023
NYG,-0.15029286,-0.03167717,2023
NYJ,-0.1843321,-0.10719497,2023
PHI,0.043068446,0.04979716,2023
PIT,-0.07734116,-0.04950019,2023
SEA,0.01592655,0.04019476,2023
SF,0.11776708,-0.02317373,2023
TB,-0.007972966,-0.037008543,2023
TEN,-0.031330816,0.033262447,2023
WAS,-0.0844741,0.07420189,2023
