team,offense_epa_per_play,defense_epa_per_play,season,team_full_name,Year,Team,GINI,GINI_gini30,GINI_gini40,GINI_gini50
CHI,-0.10538857,-0.04790596,2017,Chicago Bears,2017,Chicago Bears,0.3731661918715651,0.4896290614866164,0.5389930217031411,0.5885490025507307
CIN,-0.101036526,-0.032997824,2017,Cincinnati Bengals,2017,Cincinnati Bengals,0.3709953314157245,0.5023008477324943,0.5654471875856578,0.6235168245749715
CLE,-0.13620003,0.01741966,2017,Cleveland Browns,2017,Cleveland Browns,0.4192893376487525,0.4988853913437789,0.5332029393496981,0.5794870047195074
DAL,-0.004331497,-0.023423566,2017,Dallas Cowboys,2017,Dallas Cowboys,0.409015305745311,0.4661634820916937,0.5223883409071676,0.5749453715785845
DEN,-0.12792565,-0.05753634,2017,Denver Broncos,2017,Denver Broncos,0.4428536475226448,0.5481380344922827,0.5954435333934069,0.647208371106883
DET,-0.05873572,-0.08535152,2017,Detroit Lions,2017,Detroit Lions,0.359539494564262,0.4869575268405707,0.5537025051686539,0.6081805150095743
GB,-0.037594695,0.02214442,2017,Green Bay Packers,2017,Green Bay Packers,0.4223596651443667,0.5362228382802547,0.5877636353630964,0.6334747938730911
HOU,-0.058701567,0.022035113,2017,Houston Texans,2017,Houston Texans,0.4383778624634105,0.5405710738253042,0.5941144831392993,0.6532808541981282
IND,-0.081161514,0.0391224,2017,Indianapolis Colts,2017,Indianapolis Colts,0.4932311276848033,0.5701163761539337,0.6028909668802158,0.6546635328110936
JAX,-0.0027664038,-0.121921,2017,Jacksonville Jaguars,2017,Jacksonville Jaguars,0.2465856605516958,0.3923118212644965,0.4888052947123434,0.5498207090347251
KC,0.06316329,-0.0047961064,2017,Kansas City Chiefs,2017,Kansas City Chiefs,0.4412389530147411,0.5330912766518857,0.5802013353702611,0.6284673244296819
LAC,0.013726027,-0.05898737,2017,Los Angeles Chargers,2017,Los Angeles Chargers,0.4085063947818568,0.5260924720704699,0.5791392710774355,0.6158777700445778
LV,-0.032225322,0.038586956,2017,Las Vegas Raiders,2017,Las Vegas Raiders,0.3394902069618727,0.4586935206522709,0.5401738319997135,0.5985416274318284
MIA,-0.11087622,-0.010884296,2017,Miami Dolphins,2017,Miami Dolphins,0.4361422498007899,0.5184915634100737,0.5650564963986476,0.6162377860719074
MIN,-0.012030865,-0.096443996,2017,Minnesota Vikings,2017,Minnesota Vikings,0.2860861799154496,0.3944396851836658,0.4734929308822894,0.5244713213424608
NE,0.12667333,0.010080802,2017,New England Patriots,2017,New England Patriots,0.3302739661837981,0.4067574403960156,0.4799367692370833,0.5462616025869517
NO,0.0652241,-0.026883168,2017,New Orleans Saints,2017,New Orleans Saints,0.4749790696146347,0.5523939314027123,0.5931295134065613,0.647103324405165
NYG,-0.13817473,-0.01631891,2017,New York Giants,2017,New York Giants,0.5270029156595296,0.5972586789062606,0.6360878318183533,0.6844675496279137
NYJ,-0.07640462,-0.006057703,2017,New York Jets,2017,New York Jets,0.4266022091877406,0.5127379909352366,0.5514263441220629,0.5850622552208964
PHI,0.06468516,-0.08304064,2017,Philadelphia Eagles,2017,Philadelphia Eagles,0.2963016955134722,0.4193926300194928,0.4995280146288218,0.5521380118811277
PIT,0.04847433,-0.021449687,2017,Pittsburgh Steelers,2017,Pittsburgh Steelers,0.3953646184568942,0.4849798154949709,0.5518604031794904,0.5892896780612432
SEA,-0.039855316,-0.058634344,2017,Seattle Seahawks,2017,Seattle Seahawks,0.3891092767092646,0.495008733939148,0.5527371252336145,0.606815031272846
TB,-0.019039286,0.019623457,2017,Tampa Bay Buccaneers,2017,Tampa Bay Buccaneers,0.3037022748979316,0.4461185611211229,0.5218111443856611,0.5970560705023366
TEN,-0.039603196,-0.0057377815,2017,Tennessee Titans,2017,Tennessee Titans,0.2178531606975285,0.292127429829541,0.3834866025532907,0.4580105386755644
WAS,-0.08636083,-0.04252692,2017,Washington Commanders,2017,Washington Commanders,0.5178547966789794,0.5873969391171746,0.6218892441420392,0.6733364446946072
ARI,-0.2123767,-0.02024215,2018,Arizona Cardinals,2018,Arizona Cardinals,0.506229714040361,0.5911753582523862,0.6457811076505738,0.6973484589207313
ATL,0.055338215,0.06318725,2018,Atlanta Falcons,2018,Atlanta Falcons,0.4044146543653956,0.5083466579035973,0.5654143268677119,0.6078194050417536
BAL,-0.004595807,-0.08381963,2018,Baltimore Ravens,2018,Baltimore Ravens,0.3901200739566187,0.4979231632826028,0.5567513139116884,0.5916214732411625
BUF,-0.15865023,-0.077697076,2018,Buffalo Bills,2018,Buffalo Bills,0.3168268592615583,0.4335536687115199,0.5073026156882775,0.5771367996731086
CAR,0.03745924,0.0442569,2018,Carolina Panthers,2018,Carolina Panthers,0.4521805008128282,0.5280612530563193,0.5790304729717403,0.6326465218943529
CHI,-0.0054781693,-0.12012845,2018,Chicago Bears,2018,Chicago Bears,0.2464282023397337,0.3890038114289289,0.4754080269219796,0.5293088827746271
CIN,-0.008605288,0.06480474,2018,Cincinnati Bengals,2018,Cincinnati Bengals,0.4322859816623989,0.5300566543122955,0.5778509465098739,0.6331556614117069
CLE,-0.0507383,-0.01713902,2018,Cleveland Browns,2018,Cleveland Browns,0.3713369380123347,0.491349169660586,0.557722497894576,0.6059697303413926
DAL,-0.01674972,-0.021795886,2018,Dallas Cowboys,2018,Dallas Cowboys,0.4664903894192784,0.5452782060496333,0.5847180920372779,0.609256331801561
DEN,-0.04274792,-0.022588613,2018,Denver Broncos,2018,Denver Broncos,0.3925742481168266,0.5132583794288118,0.5659244162219171,0.6231069944386591
DET,-0.04951595,-0.019261722,2018,Detroit Lions,2018,Detroit Lions,0.3917910887426969,0.4761953844514905,0.5335508056250445,0.6057110537470991
GB,0.008941463,0.026651697,2018,Green Bay Packers,2018,Green Bay Packers,0.4910983039593278,0.5895527195264385,0.6353042974443331,0.6864967486314245
HOU,0.0005349922,-0.05940349,2018,Houston Texans,2018,Houston Texans,0.360349200144,0.5026105079652808,0.56578287271142,0.6134199597453404
IND,0.025404768,-0.037133027,2018,Indianapolis Colts,2018,Indianapolis Colts,0.5165357738353894,0.5899716480712774,0.6191176183257768,0.6554897757874523
JAX,-0.11296575,-0.055159222,2018,Jacksonville Jaguars,2018,Jacksonville Jaguars,0.4321102928521385,0.5494397965693674,0.6112451753836349,0.6663693769695958
KC,0.17350613,0.039451722,2018,Kansas City Chiefs,2018,Kansas City Chiefs,0.4265466995039978,0.5068936433181671,0.5687599059502602,0.6122362596582683
LAC,0.0466329,-0.026536265,2018,Los Angeles Chargers,2018,Los Angeles Chargers,0.4182363278268697,0.5174403499857473,0.5789550639402963,0.6257049318117862
LV,-0.06865281,0.084850036,2018,Las Vegas Raiders,2018,Las Vegas Raiders,0.4339160269322983,0.5393507188203319,0.6020024474340653,0.6627525145191778
MIA,-0.09927346,0.014148812,2018,Miami Dolphins,2018,Miami Dolphins,0.3691597700011419,0.4885836024038396,0.5488599676392772,0.5967062196328411
MIN,-0.09181021,-0.0964671,2018,Minnesota Vikings,2018,Minnesota Vikings,0.3268619216399105,0.4736390426325472,0.5532005510242033,0.5995884586151915
